
# processes = 512 
# repetitions = 20 
# resolution = 10240 
# iterations = 10 

summed time [s], mean time per processor [s], maximum time per processor [s] 
14.260304,  0.027899, 0.027852
12.097375,  0.023634, 0.023628
19.975089,  0.039040, 0.039014
11.977499,  0.023398, 0.023394
12.009368,  0.023462, 0.023456
11.883259,  0.023244, 0.023209
11.880908,  0.023214, 0.023205
11.912859,  0.023276, 0.023267
11.641239,  0.022750, 0.022737
12.155688,  0.023769, 0.023742
11.714252,  0.022901, 0.022879
11.694940,  0.022851, 0.022842
12.504847,  0.024471, 0.024424
11.950857,  0.023347, 0.023342
11.680854,  0.022831, 0.022814
21.511179,  0.042039, 0.042014
12.219408,  0.023870, 0.023866
16.256673,  0.031769, 0.031751
12.078634,  0.023596, 0.023591
12.698349,  0.024811, 0.024801
