
# processes = 512 
# repetitions = 20 
# resolution = 23170 
# iterations = 10 

summed time [s], mean time per processor [s], maximum time per processor [s] 
75.111511,  0.146730, 0.146702
63.357491,  0.123759, 0.123745
62.522835,  0.122155, 0.122115
63.310450,  0.123672, 0.123653
63.171712,  0.123402, 0.123382
73.208907,  0.142998, 0.142986
83.898222,  0.163926, 0.163864
73.103649,  0.142793, 0.142781
74.254026,  0.145038, 0.145027
76.828130,  0.150071, 0.150055
73.637907,  0.143836, 0.143824
74.147353,  0.144831, 0.144819
81.807688,  0.159807, 0.159781
73.959676,  0.144470, 0.144452
74.173966,  0.144881, 0.144871
74.873477,  0.146245, 0.146237
77.343341,  0.151087, 0.151061
74.431264,  0.145387, 0.145374
74.076040,  0.144694, 0.144680
74.125494,  0.144784, 0.144776
