
# processes = 1 
# repetitions = 20 
# resolution = 1024 
# iterations = 10 

summed time [s], mean time per processor [s], maximum time per processor [s] 
0.105876,  0.105876, 0.105876
0.111068,  0.111068, 0.111068
0.111196,  0.111196, 0.111196
0.111954,  0.111954, 0.111954
0.111026,  0.111026, 0.111026
0.111431,  0.111431, 0.111431
0.110159,  0.110159, 0.110159
0.111701,  0.111701, 0.111701
0.111151,  0.111151, 0.111151
0.110678,  0.110678, 0.110678
0.111593,  0.111593, 0.111593
0.110246,  0.110246, 0.110246
0.110584,  0.110584, 0.110584
0.110985,  0.110985, 0.110985
0.110251,  0.110251, 0.110251
0.109798,  0.109798, 0.109798
0.109831,  0.109831, 0.109831
0.109639,  0.109639, 0.109639
0.110701,  0.110701, 0.110701
0.110553,  0.110553, 0.110553
