
# processes = 512 
# repetitions = 20 
# resolution = 1024 
# iterations = 10 

summed time [s], mean time per processor [s], maximum time per processor [s] 
1.378148,  0.002743, 0.002692
1.182938,  0.002314, 0.002310
1.008522,  0.001974, 0.001970
1.027597,  0.002010, 0.002007
1.040542,  0.002036, 0.002032
1.538020,  0.003008, 0.003004
0.938154,  0.001836, 0.001832
0.812884,  0.001590, 0.001588
0.932004,  0.001824, 0.001820
0.773078,  0.001513, 0.001510
0.921731,  0.001802, 0.001800
0.801398,  0.001568, 0.001565
0.809394,  0.001583, 0.001581
0.911274,  0.001783, 0.001780
0.852037,  0.001667, 0.001664
0.772830,  0.001512, 0.001509
0.851553,  0.001666, 0.001663
0.827403,  0.001619, 0.001616
0.919088,  0.001799, 0.001795
0.781907,  0.001531, 0.001527
