
# processes = 1024 
# repetitions = 20 
# resolution = 32768 
# iterations = 10 

summed time [s], mean time per processor [s], maximum time per processor [s] 
151.076316,  0.147602, 0.147535
180.155695,  0.175936, 0.175933
173.930420,  0.169856, 0.169854
174.565662,  0.170490, 0.170474
181.169444,  0.176934, 0.176923
173.856162,  0.169784, 0.169781
173.991929,  0.169924, 0.169914
163.686681,  0.159853, 0.159850
139.308404,  0.136072, 0.136043
140.121633,  0.136847, 0.136838
136.145071,  0.132957, 0.132954
137.254591,  0.134061, 0.134038
145.469694,  0.142079, 0.142060
135.018487,  0.131872, 0.131854
134.731485,  0.131576, 0.131574
140.930771,  0.137630, 0.137628
135.801210,  0.132634, 0.132618
136.399931,  0.133212, 0.133203
135.582441,  0.132408, 0.132405
135.774794,  0.132595, 0.132593
