
# processes = 2 
# repetitions = 20 
# resolution = 1500 
# iterations = 100 

summed time [s], mean time per processor [s], maximum time per processor [s] 
2.532126,  1.266073, 1.266063
1.873482,  0.936741, 0.936741
1.920027,  0.960014, 0.960013
2.142152,  1.071084, 1.071076
1.706008,  0.853010, 0.853004
2.222264,  1.111134, 1.111132
2.559921,  1.279968, 1.279961
2.072040,  1.036029, 1.036020
2.082017,  1.041030, 1.041009
2.038917,  1.019465, 1.019459
2.181844,  1.090927, 1.090922
1.970504,  0.985257, 0.985252
2.116462,  1.058238, 1.058231
2.156719,  1.078360, 1.078360
2.075565,  1.037791, 1.037783
2.525791,  1.262906, 1.262895
2.116996,  1.058506, 1.058498
2.237885,  1.118943, 1.118942
2.111873,  1.055946, 1.055937
2.324885,  1.162451, 1.162443
