
# processes = 32 
# repetitions = 20 
# resolution = 10240 
# iterations = 10 

summed time [s], mean time per processor [s], maximum time per processor [s] 
14.411007,  0.450392, 0.450344
12.292844,  0.384160, 0.384151
12.370689,  0.386590, 0.386584
12.353426,  0.386046, 0.386045
12.257261,  0.383043, 0.383039
12.269493,  0.383435, 0.383422
12.230441,  0.382208, 0.382201
12.293303,  0.384174, 0.384166
12.226531,  0.382088, 0.382079
12.272891,  0.383533, 0.383528
12.271482,  0.383498, 0.383484
12.224961,  0.382032, 0.382030
12.231694,  0.382247, 0.382240
12.267181,  0.383355, 0.383349
12.237524,  0.382425, 0.382423
12.221119,  0.381925, 0.381910
12.263621,  0.383242, 0.383238
12.290554,  0.384087, 0.384080
12.275811,  0.383625, 0.383619
12.230357,  0.382201, 0.382199
