
# processes = 1024 
# repetitions = 20 
# resolution = 1024 
# iterations = 10 

summed time [s], mean time per processor [s], maximum time per processor [s] 
3.020034,  0.002995, 0.002949
2.420683,  0.002365, 0.002364
2.530197,  0.002491, 0.002471
2.267917,  0.002215, 0.002215
2.185766,  0.002135, 0.002135
2.210361,  0.002167, 0.002159
3.780125,  0.003693, 0.003692
2.766322,  0.002702, 0.002701
2.318960,  0.002266, 0.002265
2.255772,  0.002204, 0.002203
2.243361,  0.002192, 0.002191
2.220848,  0.002170, 0.002169
2.337762,  0.002291, 0.002283
2.021064,  0.001994, 0.001974
2.129932,  0.002081, 0.002080
2.315564,  0.002262, 0.002261
2.020556,  0.001975, 0.001973
2.442586,  0.002403, 0.002385
2.192092,  0.002142, 0.002141
2.487019,  0.002430, 0.002429
