
# processes = 256 
# repetitions = 20 
# resolution = 10240 
# iterations = 10 

summed time [s], mean time per processor [s], maximum time per processor [s] 
15.485111,  0.060533, 0.060489
12.361606,  0.048306, 0.048288
12.169501,  0.047539, 0.047537
12.342250,  0.048215, 0.048212
12.378437,  0.048360, 0.048353
13.706482,  0.053543, 0.053541
13.741332,  0.053679, 0.053677
21.933402,  0.085683, 0.085677
15.406037,  0.060187, 0.060180
13.815841,  0.053971, 0.053968
13.705420,  0.053547, 0.053537
13.584781,  0.053067, 0.053066
13.987648,  0.054654, 0.054639
18.833066,  0.073570, 0.073567
13.877026,  0.054212, 0.054207
13.711066,  0.053560, 0.053559
13.576003,  0.053033, 0.053031
13.875285,  0.054215, 0.054200
14.136422,  0.055223, 0.055220
13.609062,  0.053162, 0.053160
