
# processes = 4 
# repetitions = 20 
# resolution = 2000 
# iterations = 100 

summed time [s], mean time per processor [s], maximum time per processor [s] 
9.307963,  2.327000, 2.326991
8.957574,  2.239395, 2.239394
8.068043,  2.017012, 2.017011
8.746352,  2.186593, 2.186588
9.061517,  2.265381, 2.265379
8.886416,  2.221606, 2.221604
9.165521,  2.291391, 2.291380
8.794737,  2.198693, 2.198684
8.838696,  2.209678, 2.209674
9.150264,  2.287595, 2.287566
8.931341,  2.232840, 2.232835
9.019808,  2.254962, 2.254952
8.927402,  2.231860, 2.231851
8.742543,  2.185657, 2.185636
8.751316,  2.187834, 2.187829
8.661399,  2.165352, 2.165350
7.110674,  1.777674, 1.777668
9.126134,  2.281534, 2.281534
9.063187,  2.265808, 2.265797
8.324868,  2.081225, 2.081217
