
# processes = 2 
# repetitions = 20 
# resolution = 1000 
# iterations = 100 

summed time [s], mean time per processor [s], maximum time per processor [s] 
0.688795,  0.344402, 0.344397
0.639738,  0.319870, 0.319869
0.617345,  0.308678, 0.308673
0.564393,  0.282201, 0.282196
0.576558,  0.288283, 0.288279
0.560109,  0.280061, 0.280055
0.549998,  0.275003, 0.274999
0.540920,  0.270465, 0.270460
0.595605,  0.297811, 0.297802
0.565211,  0.282606, 0.282606
0.617190,  0.308601, 0.308595
0.701151,  0.350581, 0.350575
0.622818,  0.311415, 0.311409
0.590756,  0.295386, 0.295378
0.693897,  0.346954, 0.346948
0.657925,  0.328968, 0.328962
0.648189,  0.324095, 0.324094
0.634635,  0.317343, 0.317317
0.627149,  0.313581, 0.313575
0.603055,  0.301528, 0.301528
