
# processes = 4 
# repetitions = 20 
# resolution = 1500 
# iterations = 100 

summed time [s], mean time per processor [s], maximum time per processor [s] 
2.428791,  0.607202, 0.607198
2.289708,  0.572436, 0.572427
2.288769,  0.572194, 0.572192
2.295682,  0.573921, 0.573921
2.300270,  0.575069, 0.575067
2.286918,  0.571730, 0.571729
2.286518,  0.571630, 0.571629
2.275303,  0.568827, 0.568826
2.280366,  0.570092, 0.570092
1.986377,  0.496595, 0.496594
2.285168,  0.571293, 0.571292
2.298370,  0.574594, 0.574593
2.286934,  0.571736, 0.571733
2.328651,  0.582165, 0.582163
2.295789,  0.573948, 0.573947
2.338475,  0.584619, 0.584619
2.341898,  0.585476, 0.585475
2.347077,  0.586773, 0.586769
2.337631,  0.584418, 0.584408
2.229964,  0.557492, 0.557491
