
# processes = 2 
# repetitions = 20 
# resolution = 200 
# iterations = 100 

summed time [s], mean time per processor [s], maximum time per processor [s] 
0.034305,  0.017155, 0.017153
0.038842,  0.019421, 0.019421
0.032918,  0.016460, 0.016459
0.035926,  0.017963, 0.017963
0.042685,  0.021343, 0.021343
0.034365,  0.017183, 0.017182
0.036070,  0.018036, 0.018035
0.035989,  0.017995, 0.017995
0.047431,  0.023716, 0.023715
0.043988,  0.021995, 0.021994
0.036894,  0.018447, 0.018447
0.043160,  0.021585, 0.021580
0.036143,  0.018072, 0.018072
0.056191,  0.028096, 0.028095
0.040577,  0.020289, 0.020288
0.043974,  0.021990, 0.021987
0.053988,  0.026994, 0.026994
0.043000,  0.021511, 0.021500
0.037548,  0.018775, 0.018774
0.048237,  0.024118, 0.024118
