
# processes = 4 
# repetitions = 20 
# resolution = 1000 
# iterations = 100 

summed time [s], mean time per processor [s], maximum time per processor [s] 
1.074189,  0.268549, 0.268547
0.920820,  0.230206, 0.230205
0.929584,  0.232397, 0.232396
0.926594,  0.231649, 0.231648
0.925543,  0.231388, 0.231386
0.919974,  0.229995, 0.229993
0.935686,  0.233923, 0.233922
0.939143,  0.234788, 0.234786
0.934008,  0.233503, 0.233502
0.927127,  0.231789, 0.231782
0.936488,  0.234123, 0.234122
0.923756,  0.230940, 0.230939
0.935592,  0.233900, 0.233898
0.919420,  0.229856, 0.229855
0.938934,  0.234734, 0.234734
0.905651,  0.226414, 0.226413
0.930143,  0.232537, 0.232536
0.937322,  0.234331, 0.234331
0.928957,  0.232242, 0.232239
0.924402,  0.231101, 0.231100
