
# processes = 4 
# repetitions = 20 
# resolution = 11 
# iterations = 100 

summed time [s], mean time per processor [s], maximum time per processor [s] 
0.003289,  0.000823, 0.000822
0.003059,  0.000765, 0.000765
0.003056,  0.000764, 0.000764
0.002993,  0.000748, 0.000748
0.003007,  0.000752, 0.000752
0.003011,  0.000753, 0.000753
0.003256,  0.000814, 0.000814
0.003070,  0.000768, 0.000767
0.003027,  0.000757, 0.000757
0.003133,  0.000783, 0.000783
0.003050,  0.000763, 0.000763
0.003247,  0.000812, 0.000812
0.003133,  0.000783, 0.000783
0.003670,  0.000918, 0.000918
0.003302,  0.000826, 0.000825
0.003005,  0.000751, 0.000751
0.003112,  0.000778, 0.000778
0.003437,  0.000860, 0.000859
0.004508,  0.001128, 0.001127
0.003863,  0.000966, 0.000966
