
# processes = 4 
# repetitions = 20 
# resolution = 400 
# iterations = 100 

summed time [s], mean time per processor [s], maximum time per processor [s] 
0.218985,  0.054747, 0.054746
0.209155,  0.052291, 0.052289
0.207604,  0.051901, 0.051901
0.215718,  0.053932, 0.053930
0.210385,  0.052599, 0.052596
0.212108,  0.053028, 0.053027
0.206784,  0.051697, 0.051696
0.208398,  0.052102, 0.052100
0.209980,  0.052495, 0.052495
0.207757,  0.051939, 0.051939
0.210963,  0.052741, 0.052741
0.209317,  0.052329, 0.052329
0.217050,  0.054263, 0.054262
0.209963,  0.052494, 0.052491
0.211526,  0.052884, 0.052881
0.207479,  0.051872, 0.051870
0.214691,  0.053673, 0.053673
0.211811,  0.052953, 0.052953
0.211346,  0.052839, 0.052836
0.209148,  0.052290, 0.052287
