
# processes = 1024 
# repetitions = 20 
# resolution = 10240 
# iterations = 10 

summed time [s], mean time per processor [s], maximum time per processor [s] 
21.041246,  0.020594, 0.020548
14.292381,  0.013959, 0.013957
16.608409,  0.016232, 0.016219
14.349406,  0.014014, 0.014013
16.720929,  0.016331, 0.016329
14.052317,  0.013738, 0.013723
14.090864,  0.013762, 0.013761
13.944712,  0.013619, 0.013618
14.250654,  0.013918, 0.013917
14.137550,  0.013808, 0.013806
14.153168,  0.013877, 0.013821
13.422024,  0.013109, 0.013107
12.818221,  0.012519, 0.012518
13.033621,  0.012729, 0.012728
13.144234,  0.012924, 0.012836
12.605562,  0.012312, 0.012310
12.562071,  0.012269, 0.012268
13.328936,  0.013018, 0.013017
17.623486,  0.017218, 0.017210
17.505627,  0.017099, 0.017095
