
# processes = 256 
# repetitions = 20 
# resolution = 16384 
# iterations = 10 

summed time [s], mean time per processor [s], maximum time per processor [s] 
37.492881,  0.146521, 0.146457
43.157053,  0.168586, 0.168582
42.993001,  0.167945, 0.167941
43.215264,  0.168830, 0.168810
43.344767,  0.169323, 0.169315
42.996905,  0.167960, 0.167957
43.242734,  0.168926, 0.168917
42.953908,  0.167825, 0.167789
40.473318,  0.158101, 0.158099
40.498080,  0.158206, 0.158196
40.180883,  0.156959, 0.156957
40.234136,  0.157166, 0.157165
42.957801,  0.167811, 0.167804
42.538603,  0.166169, 0.166166
42.544507,  0.166192, 0.166189
40.208886,  0.157068, 0.157066
42.918659,  0.167664, 0.167651
42.969181,  0.167855, 0.167848
42.692000,  0.166769, 0.166766
42.720245,  0.166878, 0.166876
