
# processes = 1 
# repetitions = 20 
# resolution = 1000 
# iterations = 100 

summed time [s], mean time per processor [s], maximum time per processor [s] 
0.757191,  0.757191, 0.757191
0.562219,  0.562219, 0.562219
0.564781,  0.564781, 0.564781
0.565504,  0.565504, 0.565504
0.571067,  0.571067, 0.571067
0.556723,  0.556723, 0.556723
0.555409,  0.555409, 0.555409
0.564517,  0.564517, 0.564517
0.550795,  0.550795, 0.550795
0.563918,  0.563918, 0.563918
0.672929,  0.672929, 0.672929
0.648521,  0.648521, 0.648521
0.663444,  0.663444, 0.663444
0.657297,  0.657297, 0.657297
0.657694,  0.657694, 0.657694
0.658659,  0.658659, 0.658659
0.654453,  0.654453, 0.654453
0.674260,  0.674260, 0.674260
0.650222,  0.650222, 0.650222
0.704351,  0.704351, 0.704351
