
# processes = 2 
# repetitions = 20 
# resolution = 500 
# iterations = 100 

summed time [s], mean time per processor [s], maximum time per processor [s] 
0.131934,  0.065967, 0.065967
0.122316,  0.061161, 0.061158
0.142166,  0.071083, 0.071083
0.140970,  0.070488, 0.070485
0.117836,  0.058918, 0.058918
0.122110,  0.061055, 0.061055
0.129013,  0.064507, 0.064507
0.140772,  0.070387, 0.070386
0.127907,  0.063954, 0.063953
0.130330,  0.065165, 0.065165
0.165027,  0.082513, 0.082513
0.121695,  0.060848, 0.060847
0.165062,  0.082531, 0.082531
0.156279,  0.078145, 0.078140
0.146951,  0.073477, 0.073476
0.129419,  0.064710, 0.064710
0.138186,  0.069096, 0.069093
0.145180,  0.072590, 0.072590
0.115874,  0.057938, 0.057937
0.175593,  0.087797, 0.087796
