
# processes = 4 
# repetitions = 20 
# resolution = 500 
# iterations = 100 

summed time [s], mean time per processor [s], maximum time per processor [s] 
0.204479,  0.051123, 0.051120
0.204604,  0.051153, 0.051151
0.205715,  0.051429, 0.051429
0.210897,  0.052725, 0.052724
0.195868,  0.048969, 0.048967
0.193560,  0.048390, 0.048390
0.204764,  0.051193, 0.051191
0.204228,  0.051058, 0.051057
0.170850,  0.042714, 0.042713
0.194192,  0.048548, 0.048548
0.195426,  0.048859, 0.048856
0.199328,  0.049833, 0.049832
0.193895,  0.048476, 0.048474
0.203289,  0.050825, 0.050822
0.205251,  0.051316, 0.051313
0.199263,  0.049816, 0.049816
0.194356,  0.048590, 0.048589
0.199556,  0.049891, 0.049889
0.198907,  0.049729, 0.049727
0.204459,  0.051115, 0.051115
