
# processes = 1 
# repetitions = 20 
# resolution = 1500 
# iterations = 100 

summed time [s], mean time per processor [s], maximum time per processor [s] 
2.823607,  2.823607, 2.823607
2.838620,  2.838620, 2.838620
2.855704,  2.855704, 2.855704
2.829533,  2.829533, 2.829533
2.890772,  2.890772, 2.890772
2.813118,  2.813118, 2.813118
2.875317,  2.875317, 2.875317
2.862527,  2.862527, 2.862527
2.835144,  2.835144, 2.835144
2.855251,  2.855251, 2.855251
2.675778,  2.675778, 2.675778
2.736825,  2.736825, 2.736825
2.688519,  2.688519, 2.688519
2.717188,  2.717188, 2.717188
2.700611,  2.700611, 2.700611
2.690134,  2.690134, 2.690134
2.759738,  2.759738, 2.759738
2.841926,  2.841926, 2.841926
2.705316,  2.705316, 2.705316
2.751642,  2.751642, 2.751642
