
# processes = 256 
# repetitions = 20 
# resolution = 1024 
# iterations = 10 

summed time [s], mean time per processor [s], maximum time per processor [s] 
0.688867,  0.002736, 0.002691
0.597777,  0.002336, 0.002335
0.588834,  0.002301, 0.002300
0.641351,  0.002506, 0.002505
0.521048,  0.002038, 0.002035
0.526487,  0.002057, 0.002057
0.531128,  0.002075, 0.002075
0.510356,  0.001994, 0.001994
0.494767,  0.001933, 0.001933
0.477931,  0.001868, 0.001867
0.527045,  0.002070, 0.002059
0.534325,  0.002088, 0.002087
0.473345,  0.001850, 0.001849
0.498136,  0.001953, 0.001946
0.536155,  0.002095, 0.002094
0.465446,  0.001819, 0.001818
0.502078,  0.001962, 0.001961
0.456467,  0.001784, 0.001783
0.468209,  0.001829, 0.001829
0.462584,  0.001808, 0.001807
