
# processes = 512 
# repetitions = 20 
# resolution = 1024 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
5.881353,  0.011539, 0.011487
4.913770,  0.009601, 0.009597
4.636054,  0.009070, 0.009055
4.172921,  0.008154, 0.008150
4.096168,  0.008003, 0.008000
4.785823,  0.009351, 0.009347
4.423739,  0.008644, 0.008640
4.129576,  0.008069, 0.008066
4.307682,  0.008423, 0.008413
4.534947,  0.008867, 0.008857
4.362244,  0.008523, 0.008520
4.088260,  0.007996, 0.007985
4.366461,  0.008533, 0.008528
4.668613,  0.009124, 0.009118
4.435168,  0.008666, 0.008662
4.581814,  0.008966, 0.008949
4.338106,  0.008478, 0.008473
4.344969,  0.008490, 0.008486
4.215921,  0.008238, 0.008234
4.032145,  0.007878, 0.007875
