
# processes = 32 
# repetitions = 20 
# resolution = 5793 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
24.412398,  0.762924, 0.762887
20.197731,  0.631185, 0.631179
20.057459,  0.626818, 0.626796
20.013553,  0.625441, 0.625424
20.054119,  0.626708, 0.626691
20.069913,  0.627188, 0.627185
20.080013,  0.627509, 0.627500
20.062427,  0.626954, 0.626951
20.378673,  0.636841, 0.636834
20.010395,  0.625331, 0.625325
20.010814,  0.625341, 0.625338
20.018271,  0.625576, 0.625571
20.204275,  0.631390, 0.631384
20.233522,  0.632306, 0.632298
20.020584,  0.625648, 0.625643
20.035844,  0.626128, 0.626120
20.481044,  0.640036, 0.640033
20.063824,  0.627005, 0.626995
20.007808,  0.625247, 0.625244
20.006799,  0.625214, 0.625212
