
# processes = 256 
# repetitions = 20 
# resolution = 16384 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
200.420191,  0.782936, 0.782891
227.175866,  0.887432, 0.887406
222.507501,  0.869184, 0.869170
222.371091,  0.868644, 0.868637
222.618236,  0.869612, 0.869602
224.597018,  0.877345, 0.877332
221.582984,  0.865563, 0.865559
222.669895,  0.869808, 0.869804
221.216661,  0.864136, 0.864128
217.077051,  0.847961, 0.847957
212.218564,  0.828982, 0.828979
212.794537,  0.831235, 0.831229
213.055969,  0.832261, 0.832250
212.701044,  0.830874, 0.830863
220.014874,  0.859449, 0.859433
213.455752,  0.833814, 0.833812
221.933309,  0.866929, 0.866927
222.537949,  0.869292, 0.869289
221.409493,  0.864886, 0.864881
221.352326,  0.864661, 0.864658
