
# processes = 1024 
# repetitions = 20 
# resolution = 1024 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
12.601580,  0.012364, 0.012306
13.128836,  0.012822, 0.012821
12.876485,  0.012604, 0.012575
16.131356,  0.015755, 0.015753
17.390134,  0.016995, 0.016983
10.449895,  0.010206, 0.010205
18.896352,  0.018455, 0.018453
10.118638,  0.009885, 0.009881
10.506069,  0.010261, 0.010260
11.422465,  0.011161, 0.011155
11.466866,  0.011304, 0.011198
11.260004,  0.010997, 0.010996
10.636456,  0.010388, 0.010387
10.840857,  0.010594, 0.010587
10.817461,  0.010565, 0.010564
10.316674,  0.010076, 0.010075
10.560069,  0.010318, 0.010313
11.141421,  0.010881, 0.010880
11.132601,  0.010873, 0.010872
10.404622,  0.010189, 0.010161
