
# processes = 32 
# repetitions = 20 
# resolution = 10240 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
75.556364,  2.361175, 2.361136
66.412519,  2.075400, 2.075391
66.205848,  2.068940, 2.068933
66.238574,  2.069964, 2.069955
66.377609,  2.074308, 2.074300
66.351600,  2.073501, 2.073487
66.527074,  2.078975, 2.078971
66.164106,  2.067635, 2.067628
66.272997,  2.071034, 2.071031
66.238581,  2.069964, 2.069956
66.164958,  2.067668, 2.067655
66.102328,  2.065699, 2.065698
66.119636,  2.066245, 2.066239
66.194642,  2.068589, 2.068583
66.478577,  2.077460, 2.077456
66.482310,  2.077578, 2.077572
66.213038,  2.069160, 2.069157
66.037448,  2.063687, 2.063670
66.240526,  2.070024, 2.070016
65.765484,  2.055173, 2.055171
