
# processes = 512 
# repetitions = 20 
# resolution = 23170 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
8806.954806,  17.209556, 17.201084
3051.584473,  5.990970, 5.960126
8798.485571,  17.185076, 17.184542
3632.260874,  7.100150, 7.094260
418.705362,  0.818001, 0.817784
2053.621498,  4.034428, 4.010979
1362.229963,  2.666909, 2.660605
9839.299893,  19.217535, 19.217383
1133.864772,  2.215912, 2.214580
1596.141794,  3.117499, 3.117464
851.933312,  1.679305, 1.663932
1110.081308,  2.168143, 2.168128
1030.018160,  2.011766, 2.011754
8479.712473,  16.562829, 16.561938
395.373417,  0.772230, 0.772214
1188.853196,  2.322760, 2.321979
2087.632219,  4.077432, 4.077407
1824.672416,  3.571172, 3.563813
395.899995,  0.773253, 0.773242
8650.513910,  16.902668, 16.895535
