
# processes = 256 
# repetitions = 20 
# resolution = 1024 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
3.075464,  0.012070, 0.012014
2.873711,  0.011420, 0.011225
2.465862,  0.009634, 0.009632
2.484815,  0.009708, 0.009706
2.450018,  0.009572, 0.009570
2.504232,  0.009784, 0.009782
2.419626,  0.009453, 0.009452
2.400145,  0.009377, 0.009376
2.336748,  0.009129, 0.009128
2.311420,  0.009030, 0.009029
2.377564,  0.009289, 0.009287
2.518892,  0.009840, 0.009839
2.630325,  0.010276, 0.010275
2.458802,  0.009606, 0.009605
2.414010,  0.009431, 0.009430
2.375659,  0.009281, 0.009280
2.384976,  0.009317, 0.009316
2.432532,  0.009503, 0.009502
2.429444,  0.009492, 0.009490
2.343142,  0.009154, 0.009153
