
# processes = 1 
# repetitions = 1 
# resolution = 10240 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
83.083898,  83.083898, 83.083898 
83.384353,  83.384353, 83.384353
83.730058,  83.730058, 83.730058
82.773312,  82.773312, 82.773312
82.773845,  82.773845, 82.773845
82.150069,  82.150069, 82.150069
83.420695,  83.420695, 83.420695
83.143948,  83.143948, 83.143948
83.156939,  83.156939, 83.156939
83.485417,  83.485417, 83.485417
83.017477,  83.017477, 83.017477
83.177543,  83.177543, 83.177543
83.207077,  83.207077, 83.207077
83.316772,  83.316772, 83.316772
83.055604,  83.055604, 83.055604
82.975045,  82.975045, 82.975045
83.227762,  83.227762, 83.227762
82.994050,  82.994050, 82.994050
83.149173,  83.149173, 83.149173
83.875818,  83.875818, 83.875818
