
# processes = 1024 
# repetitions = 20 
# resolution = 10240 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
78.437278,  0.076692, 0.076599
100.998293,  0.098634, 0.098631
103.847925,  0.101417, 0.101414
76.355071,  0.074567, 0.074565
74.288108,  0.072566, 0.072547
73.692593,  0.071968, 0.071965
74.507198,  0.072776, 0.072761
73.252523,  0.071560, 0.071536
181.066559,  0.177176, 0.176823
74.953591,  0.073209, 0.073197
77.446737,  0.075634, 0.075632
73.318358,  0.071614, 0.071600
72.583698,  0.070889, 0.070883
73.915033,  0.072201, 0.072183
73.937248,  0.072208, 0.072204
74.551707,  0.072816, 0.072804
73.997209,  0.072265, 0.072263
88.653298,  0.086586, 0.086575
73.050200,  0.071341, 0.071338
75.024676,  0.073269, 0.073266
