
# processes = 1024 
# repetitions = 1 
# resolution = 32768 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
44217.762387,  43.189467, 43.181409
27399.528919,  26.788915, 26.757352
28155.845559,  27.653245, 27.495943
43698.321211,  43.157113, 42.674142 
34659.047671,  33.857497, 33.846726
38591.983175,  37.700342, 37.687484
39758.192505,  38.931859, 38.826360
38590.511109,  37.697679, 37.686046
23197.616387,  22.663217, 22.653922
14059.704684,  13.749364, 13.730180
46299.292384,  45.253040, 45.214153
39288.127530,  38.415516, 38.367312
42599.016824,  41.668366, 41.600602
37339.563175,  36.495736, 36.464417
42581.358691,  41.675902, 41.583358
40748.589233,  39.888397, 39.793544
38734.572038,  37.875423, 37.826731
46617.885941,  45.534118, 45.525279
28460.986001,  27.836059, 27.793932
46697.753916,  45.875792, 45.603275
