
# processes = 32 
# repetitions = 20 
# resolution = 1024 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
0.713356,  0.022341, 0.022292
0.695218,  0.021730, 0.021726
0.678629,  0.021208, 0.021207
0.679686,  0.021242, 0.021240
0.680152,  0.021256, 0.021255
0.679905,  0.021248, 0.021247
0.683517,  0.021361, 0.021360
0.684855,  0.021403, 0.021402
0.677865,  0.021187, 0.021183
0.680623,  0.021273, 0.021269
0.689450,  0.021546, 0.021545
0.681553,  0.021300, 0.021299
0.680783,  0.021276, 0.021274
0.710079,  0.022193, 0.022190
0.684988,  0.021410, 0.021406
0.684659,  0.021396, 0.021396
0.688196,  0.021507, 0.021506
0.679804,  0.021246, 0.021244
0.682749,  0.021337, 0.021336
0.692483,  0.021658, 0.021640
