
# processes = 1024 
# repetitions = 20 
# resolution = 10240 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
99.155420,  0.096892, 0.096831
97.846848,  0.095555, 0.095554
90.964634,  0.088834, 0.088833
73.556477,  0.071833, 0.071832
80.317849,  0.078436, 0.078435
75.874413,  0.074097, 0.074096
66.851994,  0.065289, 0.065285
77.859054,  0.076036, 0.076034
142.939651,  0.139601, 0.139590
67.822853,  0.066254, 0.066233
80.337654,  0.078486, 0.078455
68.413214,  0.066812, 0.066810
66.523078,  0.064965, 0.064964
68.276672,  0.066678, 0.066676
67.764640,  0.066186, 0.066176
68.015233,  0.066453, 0.066421
68.030299,  0.066438, 0.066436
74.274200,  0.072623, 0.072533
67.014968,  0.065446, 0.065444
67.525176,  0.065944, 0.065943
