
# processes = 256 
# repetitions = 20 
# resolution = 1024 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
1.721035,  0.006778, 0.006723
1.489429,  0.005819, 0.005818
1.318827,  0.005153, 0.005152
1.270257,  0.004963, 0.004962
1.269923,  0.004961, 0.004961
1.320656,  0.005160, 0.005159
1.279120,  0.004997, 0.004997
1.299275,  0.005076, 0.005075
1.334043,  0.005212, 0.005211
1.325520,  0.005179, 0.005178
1.260809,  0.004926, 0.004925
1.277758,  0.004992, 0.004991
1.212533,  0.004737, 0.004736
1.261355,  0.004928, 0.004927
1.251574,  0.004890, 0.004889
1.297822,  0.005070, 0.005070
1.260978,  0.004926, 0.004926
1.300842,  0.005082, 0.005081
1.240171,  0.004845, 0.004844
1.230657,  0.004808, 0.004807
