
# processes = 1024 
# repetitions = 20 
# resolution = 1024 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
5.367992,  0.005299, 0.005242
4.628142,  0.004539, 0.004520
5.149485,  0.005030, 0.005029
6.030035,  0.005890, 0.005889
5.361133,  0.005236, 0.005235
3.669291,  0.003584, 0.003583
4.488587,  0.004384, 0.004383
3.960714,  0.003869, 0.003868
4.199237,  0.004102, 0.004101
4.022436,  0.003929, 0.003928
3.892402,  0.003802, 0.003801
4.077053,  0.003982, 0.003981
4.371619,  0.004302, 0.004269
4.207498,  0.004113, 0.004109
3.777487,  0.003690, 0.003689
3.949841,  0.003858, 0.003857
4.198124,  0.004101, 0.004100
4.277788,  0.004178, 0.004178
3.698483,  0.003613, 0.003612
4.182864,  0.004086, 0.004085
