
# processes = 32 
# repetitions = 20 
# resolution = 5793 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
24.365824,  0.761531, 0.761432
20.534669,  0.641709, 0.641708
20.323526,  0.635111, 0.635110
20.417094,  0.638036, 0.638034
20.298009,  0.634314, 0.634313
20.336644,  0.635526, 0.635520
20.313664,  0.634804, 0.634802
20.272965,  0.633534, 0.633530
20.633453,  0.644796, 0.644795
20.306024,  0.634566, 0.634563
20.274577,  0.633587, 0.633581
20.283140,  0.633849, 0.633848
20.406014,  0.637699, 0.637688
20.283729,  0.633868, 0.633867
20.277519,  0.633673, 0.633672
20.284356,  0.633887, 0.633886
20.774267,  0.649203, 0.649196
20.369768,  0.636557, 0.636555
20.329898,  0.635311, 0.635309
20.338014,  0.635568, 0.635563
