
# processes = 1 
# repetitions = 1 
# resolution = 10240 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
85.252488,  85.252488, 85.252488
85.533827,  85.533827, 85.533827
85.433082,  85.433082, 85.433082
85.047631,  85.047631, 85.047631
85.514261,  85.514261, 85.514261
85.250949,  85.250949, 85.250949
85.101474,  85.101474, 85.101474
85.019734,  85.019734, 85.019734 
84.799397,  84.799397, 84.799397
85.795373,  85.795373, 85.795373
84.376483,  84.376483, 84.376483
85.154982,  85.154982, 85.154982
84.803667,  84.803667, 84.803667
86.361585,  86.361585, 86.361585
84.838196,  84.838196, 84.838196
85.331895,  85.331895, 85.331895
84.273854,  84.273854, 84.273854
85.002119,  85.002119, 85.002119 
84.386302,  84.386302, 84.386302
85.400418,  85.400418, 85.400418 
