
# processes = 1 
# repetitions = 20 
# resolution = 1024 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
0.595202,  0.595202, 0.595202
0.617847,  0.617847, 0.617847
0.620869,  0.620869, 0.620869
0.620833,  0.620833, 0.620833
0.621000,  0.621000, 0.621000
0.621078,  0.621078, 0.621078
0.621030,  0.621030, 0.621030
0.621131,  0.621131, 0.621131
0.620910,  0.620910, 0.620910
0.621034,  0.621034, 0.621034
0.620996,  0.620996, 0.620996
0.620982,  0.620982, 0.620982
0.620899,  0.620899, 0.620899
0.620888,  0.620888, 0.620888
0.621089,  0.621089, 0.621089
0.620953,  0.620953, 0.620953
0.620950,  0.620950, 0.620950
0.621083,  0.621083, 0.621083
0.621088,  0.621088, 0.621088
0.621002,  0.621002, 0.621002
