
# processes = 256 
# repetitions = 20 
# resolution = 16384 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
196.083151,  0.766005, 0.765950
228.067985,  0.890893, 0.890891
225.545943,  0.881041, 0.881039
224.250470,  0.875980, 0.875978
224.577001,  0.877256, 0.877254
225.216996,  0.879756, 0.879754
226.185512,  0.883539, 0.883537
224.362628,  0.876418, 0.876417
231.947732,  0.906048, 0.906046
231.311295,  0.903561, 0.903560
225.352030,  0.880283, 0.880281
477.400762,  1.864849, 1.864847
227.505137,  0.888694, 0.888692
224.557431,  0.877179, 0.877177
227.804117,  0.889862, 0.889860
224.681226,  0.877663, 0.877661
231.788699,  0.905427, 0.905425
226.841745,  0.886103, 0.886101
224.680072,  0.877658, 0.877657
226.634853,  0.885294, 0.885292
