
# processes = 512 
# repetitions = 20 
# resolution = 10240 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
70.904533,  0.138521, 0.138485
63.485063,  0.124002, 0.123994
65.700152,  0.128324, 0.128321
68.398760,  0.133615, 0.133591
71.191904,  0.139055, 0.139047
63.252922,  0.123544, 0.123541
62.885431,  0.122829, 0.122823
63.279326,  0.123598, 0.123592
62.819705,  0.122726, 0.122695
62.926551,  0.122909, 0.122903
63.009943,  0.123070, 0.123066
63.238107,  0.123519, 0.123512
68.215286,  0.133256, 0.133233
64.145612,  0.125287, 0.125284
63.708836,  0.124435, 0.124431
67.058876,  0.130998, 0.130974
63.185949,  0.123441, 0.123410
62.853451,  0.122765, 0.122761
63.655360,  0.124342, 0.124327
64.473852,  0.125948, 0.125925
