
# processes = 256 
# repetitions = 20 
# resolution = 10240 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
81.365828,  0.317892, 0.317835
65.954177,  0.257635, 0.257634
67.650321,  0.264261, 0.264259
65.191523,  0.254657, 0.254654
69.398156,  0.271098, 0.271087
73.370631,  0.286672, 0.286604
79.601621,  0.310945, 0.310944
64.859316,  0.253381, 0.253357
66.379081,  0.259295, 0.259293
68.146065,  0.266235, 0.266196
69.712929,  0.272318, 0.272316
72.645678,  0.283774, 0.283772
67.226860,  0.262607, 0.262605
69.396954,  0.271089, 0.271082
65.546796,  0.256044, 0.256042
66.846143,  0.261119, 0.261118
67.059422,  0.261952, 0.261951
68.582534,  0.267902, 0.267901
73.589657,  0.287472, 0.287460
66.006214,  0.257838, 0.257837
