
# processes = 32 
# repetitions = 20 
# resolution = 10240 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
75.612190,  2.362918, 2.362881
66.867794,  2.089620, 2.089619
66.817268,  2.088041, 2.088040
66.574958,  2.080470, 2.080467
66.545425,  2.079552, 2.079545
66.518073,  2.078697, 2.078690
66.769329,  2.086545, 2.086542
66.547071,  2.079601, 2.079596
66.794567,  2.087331, 2.087330
66.569381,  2.080294, 2.080293
66.585962,  2.080814, 2.080811
66.578224,  2.080576, 2.080569
66.596613,  2.081151, 2.081144
66.567034,  2.080227, 2.080220
66.575469,  2.080490, 2.080483
66.879715,  2.089997, 2.089991
66.538529,  2.079336, 2.079329
66.651183,  2.082851, 2.082849
66.559070,  2.079976, 2.079971
66.546899,  2.079595, 2.079591
